InstrumentCode,ISIN,InstrumentLongName,HoldingNominal,AssetMarketValue,Weight (%) Pre,Weight (%) Post,Maturity,Companion,Spread,MTM,Yield,Mod Duration,Term,Type,Issuer Type,Issuer,Exposure,Level of Subordination,Subordination,Quality,Liquidity,Interest Rate Score,Spread over Jibar,Instrument Score,Risk,Risk Duration,Reference,Level 1,Level 2,Level 3,Level 4,Level 1 Max,Level 2 Max,Level 3 Max,Level 4 Max,GIR,Infrastructure
26NC0031,,ABSA NCD 8.54% 26042024,10000000,10061017.6,0.003218622,0.003218622,2024/04/26,0,0,8.54,8.54,0.41120852,0.430136986,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.69839414,-9.7,64.15367524,0,0,FIXED,1,1.1,,,0.040412315,0.040412315,0,0,,No
26NC0034,ZAM000602531,ABSA NCD 8.625% 14122023,10000000,10806145.7,0.003456996,0.003456996,2023/12/14,0,0,8.625,8.625,0.059095349,0.063013699,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.062806947,-1.2,63.83588164,0,0,FIXED,1,1.1,,,0.040412315,0.040412315,0,0,,No
26NC0035,ZAM000604263,ABSA NCD 8.6% 04012024,15000000,16126385.9,0.005158995,0.005158995,2024/01/04,0,0,8.6,8.6,0.111637925,0.120547945,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.125667145,-3.7,63.86731174,0,0,FIXED,1,1.1,,,0.040412315,0.040412315,0,0,,No
26NC0038,ZAM000605088,Absa NCD 8.40% 10012024,15000000,16078478.82,0.005143669,0.005143669,2024/01/10,0,0,8.4,8.4,0.127520837,0.136986301,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.146159178,-23.7,63.87755775,0,0,FIXED,1,1.1,,,0.040412315,0.040412315,0,0,,No
26NC0043,,Absa NCD 8.76% 24022025,10000000,10209639,0.003266168,0.003266168,2025/02/24,0,0,8.76,8.76,1.143994729,1.263013699,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,-6.94469864,12.3,59.83212885,0,0,FIXED,1,1.1,,,0.040412315,0.040412315,0,0,,No
AGL01,ZAG000155615,Absa Group Limited F/R 29112023,3000000,2996160.591,0.000958502,0.000958502,2023/11/29,JIBAR,130,,9.937,0.021917808,0.021917808,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.022408964,130,78.81568265,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
AGL02,ZAG000158452,Absa Group Limited F/R 11042024,15000000,15263720.11,0.00488302,0.00488302,2024/04/11,JIBAR,114,,9.777,0.139726027,0.389041096,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.162420382,114,78.88568836,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
AGL03,,Absa Group Limited F/R 19052025,10000000,10107474.01,0.003233484,0.003233484,2025/05/17,JIBAR,149,,10.127,0.24109589,1.487671233,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.317689531,149,78.96332293,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
AGT03,,Absa F/R 05062025,20000000,21171932.51,0.006773117,0.006773117,2025/06/05,JIBAR,204,,10.677,0.038356164,1.539726027,Bank Subordinated Debt - AT1,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - AT1,4,-0.134122579,2.810191978,1.03988604,204,98.82442119,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
AGT04,,Absa F/R 27102025,7000000,7322343.411,0.002342492,0.002342492,2025/10/27,JIBAR,245,,11.087,0.183561644,1.934246575,Bank Subordinated Debt - AT1,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - AT1,4,-0.134122579,2.810191978,1.224832215,245,98.91689427,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ASN346,,ABSA F/R 20062024,2634187,2674237.422,0.000855516,0.000855516,2024/06/20,JIBAR,205,,10.687,0.079452055,0.580821918,Credit Linked Notes,Bank,ABSA BANK LTD,ABSA BANK LTD,Credit-Linked Note,1.5,-0.134122579,2.810191978,1.086309524,205,73.84763293,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ASN700,,ABSA F/R 22062026,100000000,101900052.7,0.032598865,0.032598865,2026/06/20,JIBAR,235,,10.987,0.079452055,2.580821918,Credit Linked Notes,Bank,ABSA BANK LTD,ABSA BANK LTD,Credit-Linked Note,1.5,-0.134122579,2.810191978,1.086309524,235,73.84763293,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ASN863,,Absa F/R 31072026,75000000,78246354.4,0.025031806,0.025031806,2026/07/31,JIBAR,,,8.712,0.194520548,2.693150685,Credit Linked Notes,Bank,ABSA BANK LTD,RSA GOVERNMENT,Credit-Linked Note,1.5,1,7,1.241496599,7.5,-535.0341434,0,0,INV JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ASC033,ZAG000197096,ABSA F/R 28022035,63000000,62890908.56,0.020119442,0.020119442,2035/02/28,JIBAR,250,,11.137,0.024657534,11.27945205,Capped-Rate Notes,Bank,ABSA BANK LTD,RSA GOVERNMENT,Credit-Linked Note,1.5,1,7,1.025280899,250,-535.1422512,0,0,JIBAR,2.Oth,3.1,2.1 (c),2.1 (c) (i),0.146004721,0.020119442,0.146004721,0.146004721,,No
ASC044,ZAG000198243,ASA F/R 280235,30000000,29951440.56,0.009581771,0.009581771,2035/02/28,JIBAR,180,,10.437,0.024657534,11.27945205,Credit Linked Notes,Bank,ABSA BANK LTD,RSA GOVERNMENT,Credit-Linked Note,1.5,1,7,1.025280899,180,-535.1422512,1,0.024657534,JIBAR,2.Oth,4.1,2.1 (c),2.1 (c) (i),0.146004721,0.009581771,0.146004721,0.146004721,,No
BGL19,,Barclays Africa Group Limited F/R 30092024,1000000,1034369.066,0.000330905,0.000330905,2024/09/29,JIBAR,143,,10.067,0.104109589,0.857534247,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.116207951,143,78.86258214,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ABJ03,,African Bank Ltd F/R 16092024,12000000,12289717.61,0.003931606,0.003931606,2024/09/14,JIBAR,235,,10.987,0.063013699,0.816438356,Bank Senior Debt - Floating,Bank,AFRICAN BANK LIMITED,AFRICAN BANK LIMITED,Bank Senior Unsecured,0.6,0.731970682,0.716758926,1.067251462,235,-347.274196,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (iv),0.009152819,0.009152819,0.009152819,0.009152819,,No
ABJ05,,African Bank F/R 30032027,10000000,10173439.59,0.003254587,0.003254587,2027/03/30,JIBAR,300,,11.637,0.106849315,3.356164384,Bank Senior Debt - Floating,Bank,AFRICAN BANK LIMITED,AFRICAN BANK LIMITED,Bank Senior Unsecured,0.6,0.731970682,0.716758926,1.119631902,300,-347.2480057,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (iv),0.009152819,0.009152819,0.009152819,0.009152819,,No
ABKI04,,African Bank ILB 5.75% 13032024,3655000,6147433.154,0.001966626,0.001966626,2024/03/13,I2025,350,7.905,13.805,0.29436,0.309589041,Bank Senior Debt - ILBs,Bank,AFRICAN BANK LIMITED,AFRICAN BANK LIMITED,Bank Senior Unsecured,0.6,0.731970682,0.716758926,1.417153223,516.8,-347.0992451,1,0.29436,I2025,2.Oth,2.1,2.1 (c),2.1 (c) (iv),0.009152819,0.009152819,0.009152819,0.009152819,,No
AIR04,,AIRSJ 9.25% 05/29/24,500000,496110.3,0.000158711,0.000158711,2024/05/29,R186,188,10.595,10.595,0.487748481,0.520547945,SOE,SOE,AIRPORTS CO SOUTH AFRICA,AIRPORTS CO SOUTH AFRICA,Corp Senior Unsecured,1,0.124462623,-0.347706797,1.952166001,195.8,-28.43305239,1,0.487748481,R186,2.Oth,2.1,2.1 (d),2.1 (d) (i),0.004113319,0.004113319,0.004113319,0.004113319,2.1(d)(i),Yes
AIR05,ZAG000116351,Airports Company of South Africa 10% 29052030,1000000,912958.1,0.000292065,0.000292065,2030/05/29,R213,150,11.93,11.93,4.589737035,6.523287671,SOE,SOE,AIRPORTS CO SOUTH AFRICA,AIRPORTS CO SOUTH AFRICA,Corp Senior Unsecured,1,0.124462623,-0.347706797,-0.278571937,329.3,-29.54842136,1,4.589737035,R213,2.Oth,2.1,2.1 (d),2.1 (d) (i),0.004113319,0.004113319,0.004113319,0.004113319,2.1(d)(i),Yes
AIRL01,ZAG000052846,AIRl01 CPI 3.64% 300428,5708750,11448661.78,0.003662544,0.003662544,2028/04/30,R210,285,7.23,13.13,3.951265554,4.443835616,ILBs,SOE,AIRPORTS CO SOUTH AFRICA,AIRPORTS CO SOUTH AFRICA,Corp Senior Unsecured,1,0.124462623,-0.347706797,-0.338837689,449.3,-29.57855424,1,3.951265554,R210,2.Oth,2.1,2.1 (d),2.1 (d) (i),0.004113319,0.004113319,0.004113319,0.004113319,2.1(d)(i),Yes
BID13,ZAG000160011,BVT F/R 140624  ,2000000,2045740.054,0.000654453,0.000654453,2024/06/14,JIBAR,60,,9.237,0.063013699,0.564383562,Corporate Senior Debt,Corporate,BIDVESTCO LIMITED,BIDVESTCO LIMITED,Corp Senior Unsecured,1,-0.031424439,-0.386470737,1.067251462,60,49.45566072,0,0,JIBAR,2.Oth,2.1,2.1 (d),2.1 (d) (i),0.000654453,0.000654453,0.000654453,0.000654453,2.1(d)(i),No
BPPF20,,BNP Paribas Personal Finance F/R 19112024,14317000,14369734.19,0.004597024,0.004597024,2024/11/19,JIBAR,112,,9.757,0.246575342,0.997260274,Corporate Senior Debt,Bank,BNP PARIBAS,BNP PARIBAS,Corp Senior Unsecured,1,1.15217697,-0.392198949,1.327272727,112,-542.157751,0,0,JIBAR,2.Oth,2.1,2.1 (d),2.1 (d) (i),0.004597024,0.004597024,0.004597024,0.004597024,,No
CBL29,ZAG000158874,Capitec F/R 30042024,6500000,6557457.437,0.002097797,0.002097797,2024/04/30,JIBAR,100,,9.637,0.191780822,0.44109589,Bank Senior Debt - Floating,Bank,CAPITEC BANK,CAPITEC BANK,Bank Senior Unsecured,0.6,2.235562286,-0.275728513,1.237288136,100,-1089.060105,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.002097797,0.002097797,0.002097797,0.002097797,2.1(c)(i),No
CCT02,,City of Cape Town 11.615% 120624,3395599,3621659.645,0.001158606,0.001158606,2024/06/12,R186,17,8.885,8.885,0.49986497,0.55890411,SOE,SOE,CITY OF CAPE TOWN,CITY OF CAPE TOWN,Corp Senior Unsecured,1,0.625684398,-0.238886764,1.999460025,24.8,-280.1084929,1,0.49986497,R186,2.Oth,2.1,2.1 (e),2.1 (e) (i),0.002059106,0.002059106,0.002059106,0.002059106,,Yes
CCT04,ZAG000145376,City of Cape Town 10.17% 19072027,2733129.23,2814852.573,0.0009005,0.0009005,2027/07/17,R186,179,10.505,10.505,1.57615,3.654794521,SOE,SOE,CITY OF CAPE TOWN,CITY OF CAPE TOWN,Corp Senior Unsecured,1,0.625684398,-0.238886764,-1.735659117,186.8,-281.9760525,1,1.57615,R186,2.Oth,2.1,2.1 (e),2.1 (e) (i),0.002059106,0.002059106,0.002059106,0.002059106,2.1(e)(i),Yes
COJ08,,City of Johannesburg 11.455% 22062026,413429,435932.2712,0.000139459,0.000139459,2026/06/22,R186,246,11.175,11.175,2.083474089,2.58630137,SOE,SOE,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,Corp Senior Unsecured,1,0.124462623,-0.238886764,-0.922957004,253.8,-30.95881423,1,2.083474089,R186,2.Oth,2.1,2.1 (e),2.1 (e) (i),0.000494317,0.000494317,0.000494317,0.000494317,,Yes
COJG01,,City of Johannesburg 10.18% 10062024,1065892,1109242.467,0.000354858,0.000354858,2024/06/09,R186,263,11.345,11.345,0.488905412,0.550684932,SOE,SOE,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,Corp Senior Unsecured,1,0.124462623,-0.238886764,1.956584991,270.8,-29.51904323,1,0.488905412,R186,2.Oth,2.1,2.1 (e),2.1 (e) (i),0.000494317,0.000494317,0.000494317,0.000494317,,Yes
CLN504,,Standard Bank CLN F/R 11102024,7586975,7779813.144,0.002488841,0.002488841,2024/10/11,JIBAR,291,,11.547,0.139726027,0.890410959,Credit Linked Notes,Bank,MOBILE TELEPHONE NETWORK HOLDINGS PTY LTD,MOBILE TELEPHONE NETWORK HOLDINGS PTY LTD,Credit-Linked Note,1.5,-0.191666369,-0.109082716,1.162420382,291,131.8503304,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.009886088,0.009886088,0.002488841,0.002488841,2.1(c)(i),No
CLN518,ZAG000149881,CLN518 Jb3Mth+2.56% 251122,200000,198801.0044,6.35985E-05,6.35985E-05,2024/11/25,JIBAR,255,,11.187,0.010958904,1.01369863,Credit Linked Notes,Bank,STANDARD BANK LTD,TELKOM,Credit-Linked Note,1.5,0.029491027,-0.280189856,1.011080332,255,22.90703373,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.099995748,0.099995748,0.099995748,0.099995748,2.1(c)(i),No
CLN527,ZAG000151150,Standard Bank CLN F/R 21022024,2300000,2307114.42,0.000738069,0.000738069,2024/02/21,JIBAR,123.5,,9.872,0.252054795,0.252054795,Credit Linked Notes,Bank,STANDARD BANK LTD,GROWTHPOINT PROPERTIES LIMITED,Credit-Linked Note,1.5,0.382812619,-0.119348494,1.336996337,123.5,-155.1992178,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.099995748,0.099995748,0.099995748,0.099995748,2.1(c)(i),No
CLN546,,Standard Bank CLN 10.02% 21082026,9853000,10152459.13,0.003247875,0.003247875,2026/08/21,R186,110,9.815,9.815,2.2944,2.750684932,Credit Linked Notes,Bank,STANDARD BANK LTD,DISCOVERY LTD,Credit-Linked Note,1.5,-0.46344371,-0.226921889,-0.772558714,117.8,267.9499031,1,2.2944,R186,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.099995748,0.099995748,0.099995748,0.099995748,2.1(c)(i),No
CLN565,ZAG000157371,Standard Bank CLN F/R 21022024,10000000,10003406.63,0.003200192,0.003200192,2024/02/21,JIBAR,146,,10.097,0.252054795,0.252054795,Credit Linked Notes,Bank,STANDARD BANK LTD,NEDBANK LTD,Credit-Linked Note,1.5,-0.395565495,2.467172627,1.336996337,146,208.1246275,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.099995748,0.099995748,0.099995748,0.099995748,2.1(c)(i),No
CLN587,ZAG000160284,Standard Bank CLN F/R 10062026,1200000,1229978.164,0.000393483,0.000393483,2026/06/10,JIBAR,195,,10.587,0.052054795,2.553424658,Credit Linked Notes,Bank,STANDARD BANK LTD,TELKOM,Credit-Linked Note,1.5,0.029491027,-0.280189856,1.054913295,195,22.92895022,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.099995748,0.099995748,0.099995748,0.099995748,2.1(c)(i),No
CLN599,ZAG000161084,Standard Bank CLN F/R 10122024,900000,918131.2062,0.00029372,0.00029372,2024/12/10,JIBAR,160,,10.237,0.052054795,1.054794521,Credit Linked Notes,Bank,STANDARD BANK LTD,FIRSTRAND BANK LTD,Credit-Linked Note,1.5,-0.107833692,2.460589047,1.054913295,160,64.18352054,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.099995748,0.099995748,0.099995748,0.099995748,2.1(c)(i),No
CLN604,ZAG000161399,Standard Bank CLN F/R 05082024,2000000,2009699.377,0.000642923,0.000642923,2024/08/05,JIBAR,150,,10.137,0.208219178,0.706849315,Credit Linked Notes,Bank,STANDARD BANK LTD,FIRSTRAND BANK LTD,Credit-Linked Note,1.5,-0.107833692,2.460589047,1.262975779,150,64.28755179,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.099995748,0.099995748,0.099995748,0.099995748,2.1(c)(i),No
CLN616,ZAG000163163,Standard Bank CLN F/R 201229,1800000,1801654.2,0.000576368,0.000576368,2029/12/20,JIBAR,370,,12.337,0.079452055,6.084931507,Credit Linked Notes,Bank,STANDARD BANK LTD,RSA GOVERNMENT,Credit-Linked Note,1.5,1,7,1.086309524,370,-535.1117369,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.099995748,0.099995748,0.099995748,0.099995748,2.1(c)(i),No
