Date,Bond Code,ISIN Code,Ticker,ISSUER,ISSUER_INDUSTRY,PAYMENT_RANK,DAYS_TO_NEXT_COUPON,NXT_CPN_DT,Maturity,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
2034/07/31,HWAY34,ZAG000070319,ZAG000070319 Corp,SOUTH AFRICAN NATL RDS,GOVT AGENCY,Sr Unsecured,148,2024/01/31,31-Jul-34,9.25,R209,76,12.455,81.93567,81.12471,0.81096,13.23,11.545,0.04,6.581475261,6.195641675,-5.076440212,507.6440212,54.87187258,,Rate,25-Aug-23,30-May-23,,,,Illiquid Methodology,
2035/02/28,R2 035,ZAG000125972,ZAG000125972 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,176,2024/02/28,28-Feb-35,8.875,,,11.61,82.90259,82.87827,0.02432,12.455,10.75,0.03,6.999987893,6.615932983,-5.484779628,548.4779628,61.8447113,,Rate,28-Aug-23,27-Aug-23,,,,Benchmark Bond,
2036/03/31,R209,ZAG000030404,ZAG000030404 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,25,2023/09/30,31-Mar-36,6.25,,,11.695,67.20429,64.5673,2.63699,12.49,10.78,0.04,7.562025047,7.144264198,-4.801251522,480.1251522,74.11414662,,Rate,28-Aug-23,27-Aug-23,,,,PD Call Down Rates,
2037/01/31,R2 037,ZAG000107012,ZAG000107012 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,148,2024/01/31,31-Jan-37,8.5,,,11.96,77.88271,77.1375,0.74521,12.71,10.98,0.04,7.434559216,7.015058705,-5.463517753,546.3517753,73.05931711,,Rate,28-Aug-23,27-Aug-23,,,,PD Call Down Rates,
2040/01/31,R2 040,ZAG000125980,ZAG000125980 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,148,2024/01/31,31-Jan-40,9,,,12.245,78.0308,77.24176,0.78904,12.82,11.125,0.06,7.797226639,7.347383108,-5.733221575,573.3221575,85.84943603,,Rate,28-Aug-23,27-Aug-23,,,,Benchmark Bond,
2040/10/09,TN40,ZAG000120320,ZAG000120320 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,34,2023/10/09,09-Oct-40,10.75,R214,117,13.265,87.37827,83.10772,4.27055,13.88,12.19,0.05,7.041888746,6.603886006,-5.770360984,577.0360984,75.15345282,,Rate,25-Aug-23,15-Mar-23,,,,Illiquid Methodology,
2041/02/28,R214,ZAG000077488,ZAG000077488 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,176,2024/02/28,28-Feb-41,6.5,,,12.095,59.68545,59.66764,0.01781,12.71,11.01,0.06,8.620736237,8.129127266,-4.851905927,485.1905927,103.6587265,,Rate,28-Aug-23,29-Jul-10,,,,PD Call Down Rates,
2042/04/25,ES42,ZAG000107780,ZAG000107780 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,50,2023/10/25,25-Apr-42,8.5,R214,85,12.945,71.94139,68.93728,3.00411,13.56,12.03,0.04,7.644568433,7.179852481,-5.165285378,516.5285378,89.113248,,Rate,28-Aug-23,22-Mar-23,,,,Official Market Maker,
2044/01/31,R2 044,ZAG000106972,ZAG000106972 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,148,2024/01/31,31-Jan-44,8.75,,,12.335,74.20327,73.43615,0.76712,12.85,11.145,0.07,8.209944151,7.733010715,-5.738147194,573.8147194,101.7426015,,Rate,28-Aug-23,27-Aug-23,,,,PD Call Down Rates,
2048/02/28,R2 048,ZAG000096173,ZAG000096173 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,176,2024/02/28,28-Feb-48,8.75,,,12.235,73.09263,73.06866,0.02397,12.805,10.975,0.07,8.544093971,8.051540953,-5.885082996,588.5082996,115.018976,,Rate,28-Aug-23,27-Aug-23,,,,PD Call Down Rates,
2028/12/07,ABCPI3,ZAG000073669,ZAG000073669 Corp,ABSA BANK LTD,BANK,Subordinated,93,2023/12/07,07-Dec-23,5.5,R197,135,5.2,335.07848,330.79405,4.28443,5.552,3.698,0.01,0.268946396,0.26213099,-0.87834457,87.83445704,0.137425312,,Rate,18-Aug-23,23-Nov-22,3.306170339,33.15013709,109.6,Inflation Linked Methodology,
2026/03/17,ABFN09,ZAG000084765,ZAG000084765 Corp,ABSA BANK LTD,BANK,Sr Unsecured,13,2023/09/18,17-Mar-26,10.442,JIBAR,107,,104.096853,101.9832913,2.113561644,100,100,0,,0,,,,,Price,14-Jul-23,13-Jul-23,,,,Price Traded Methodology,
2023/09/26,ABFN18,ZAG000139684,ZAG000139684 Corp,ABSA BANK LTD,BANK,Sr Unsecured,21,2023/09/26,26-Sep-23,10.322,JIBAR,102,,101.9591437,100.0644205,1.894723288,100,100,0,,0,,,,,Price,14-Jun-23,20-Jun-22,,,,Price Traded Methodology,
2024/05/30,ABFN22,ZAG000144239,ZAG000144239 Corp,ABSA BANK LTD,BANK,Sr Unsecured,86,2023/11/30,30-May-24,10.342,JIBAR,100,,100.6590075,100.6031007,0.055906872,100,100,0,,0,,,,,Price,23-Aug-23,25-May-23,,,,Price Traded Methodology,
2027/05/25,ABFN23,ZAG000144296,ZAG000144296 Corp,ABSA BANK LTD,BANK,Sr Unsecured,83,2023/11/27,25-May-27,10.417,JIBAR,135,,102.3815764,102.1817983,0.199778082,100,100,0,,0,,,,,Price,08-May-23,04-Jan-23,,,,Price Traded Methodology,
2024/10/17,ABFN25,ZAG000147380,ZAG000147380 Corp,ABSA BANK LTD,BANK,Sr Unsecured,42,2023/10/17,17-Oct-24,10.15,JIBAR,100,,101.9853582,100.7061801,1.279178082,100,100,0,,0,,,,,Price,17-Aug-23,26-Feb-23,,,,Price Traded Methodology,
2029/10/17,ABFN26,ZAG000147406,ZAG000147406 Corp,ABSA BANK LTD,BANK,Sr Unsecured,42,2023/10/17,17-Oct-29,10.55,JIBAR,134,,104.6094001,103.2798111,1.329589041,100,100,0,,0,,,,,Price,26-Jul-23,25-Jul-23,,,,Price Traded Methodology,
2025/08/29,ABFN29,ZAG000153727,ZAG000153727 Corp,ABSA BANK LTD,BANK,Sr Unsecured,85,2023/11/29,29-Aug-25,9.858,JIBAR,94.25,,101.0864511,101.0054264,0.081024658,100,100,0,,0,,,,,Price,11-Aug-23,30-Jul-23,,,,Price Traded Methodology,
2028/08/29,ABFN30,ZAG000153735,ZAG000153735 Corp,ABSA BANK LTD,BANK,Sr Unsecured,85,2023/11/29,29-Aug-28,10.058,JIBAR,150.25,,100.7900597,100.7096539,0.080405747,100,100,0,,0,,,,,Price,23-Nov-22,22-Nov-22,,,,Price Traded Methodology,
2023/11/15,ABFN32,ZAG000155409,ZAG000155409 Corp,ABSA BANK LTD,BANK,Sr Unsecured,71,2023/11/15,15-Nov-23,9.758,JIBAR,60,,100.6152704,100.1607882,0.454482192,100,100,0,,0,,,,,Price,26-Jul-23,25-Jul-23,,,,Price Traded Methodology,
2024/11/15,ABFN33,ZAG000155391,ZAG000155391 Corp,ABSA BANK LTD,BANK,Sr Unsecured,71,2023/11/15,15-Nov-24,9.808,JIBAR,100,,100.9184327,100.4616218,0.456810959,100,100,0,,0,,,,,Price,07-Aug-23,28-Jun-23,,,,Price Traded Methodology,
2024/02/07,ABFN35,ZAG000156795,ZAG000156795 Corp,ABSA BANK LTD,BANK,Sr Unsecured,63,2023/11/07,07-Feb-24,9.775,JIBAR,70,,100.9560163,100.2864957,0.669520548,100,100,0,,0,,,,,Price,24-Aug-23,25-Jul-23,,,,Price Traded Methodology,
2026/02/07,ABFN36,ZAG000156803,ZAG000156803 Corp,ABSA BANK LTD,BANK,Sr Unsecured,63,2023/11/07,07-Feb-26,9.885,JIBAR,122,,101.2074581,100.5304033,0.677054795,100,100,0,,0,,,,,Price,07-Aug-23,09-May-23,,,,Price Traded Methodology,
2029/02/07,ABFN37,ZAG000156811,ZAG000156811 Corp,ABSA BANK LTD,BANK,Sr Unsecured,63,2023/11/07,07-Feb-29,10.115,JIBAR,136,,102.0925427,101.3997345,0.692808219,100,100,0,,0,,,,,Price,23-Aug-23,26-Jun-23,,,,Price Traded Methodology,
2024/09/16,ABFN40,ZAG000162355,ZAG000162355 Corp,ABSA BANK LTD,BANK,Sr Unsecured,13,2023/09/18,16-Sep-24,9.752,JIBAR,90,,102.3358789,100.3622077,1.973671233,100,100,0,,0,,,,,Price,10-Aug-23,25-Jul-23,,,,Price Traded Methodology,
2026/09/16,ABFN41,ZAG000162371,ZAG000162371 Corp,ABSA BANK LTD,BANK,Sr Unsecured,13,2023/09/18,16-Sep-26,9.852,JIBAR,134,,102.0581798,100.060788,1.997391781,100,100,0,,0,,,,,Price,07-Aug-23,23-Oct-22,,,,Price Traded Methodology,
2029/09/16,ABFN42,ZAG000162389,ZAG000162389 Corp,ABSA BANK LTD,BANK,Sr Unsecured,13,2023/09/18,16-Sep-29,9.972,JIBAR,142,,102.3023783,100.2806578,2.021720548,100,100,0,,0,,,,,Price,15-May-23,25-Apr-23,,,,Price Traded Methodology,
2024/10/14,ABFN44,ZAG000163320,ZAG000163320 Corp,ABSA BANK LTD,BANK,Sr Unsecured,41,2023/10/16,14-Oct-24,9.76,JIBAR,126,,101.3268028,100.0165562,1.310246575,100,100,0,,0,,,,,Price,23-Aug-23,27-Aug-23,,,,Price Traded Methodology,
2026/10/14,ABFN45,ZAG000163338,ZAG000163338 Corp,ABSA BANK LTD,BANK,Sr Unsecured,41,2023/10/16,14-Oct-26,9.86,JIBAR,136,,101.3400595,100.0163882,1.323671233,100,100,0,,0,,,,,Price,07-Aug-23,27-Aug-23,,,,Price Traded Methodology,
2025/06/24,ABFN46,ZAG000168998,ZAG000168998 Corp,ABSA BANK LTD,BANK,Sr Unsecured,21,2023/09/26,24-Jun-25,9.917,JIBAR,142.5,,101.8302316,100.0098508,1.820380822,100,100,0,,0,,,,,Price,23-Jun-20,27-Aug-23,,,,Price Traded Methodology,
2025/08/24,ABFN48,ZAG000170374,ZAG000170374 Corp,ABSA BANK LTD,BANK,Sr Unsecured,80,2023/11/24,24-Aug-25,9.367,JIBAR,100,,100.2065521,100.001248,0.20530411,100,100,0,,0,,,,,Price,04-Nov-22,27-Aug-23,,,,Price Traded Methodology,
2024/03/30,ABFN49,ZAG000173782,ZAG000173782 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24,2023/09/29,30-Mar-24,9.6,JIBAR,80,,101.8346694,100.1776831,1.656986301,100,100,0,,0,,,,,Price,25-Aug-23,20-Jun-23,,,,Price Traded Methodology,
2026/03/30,ABFN50,ZAG000173790,ZAG000173790 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24,2023/09/29,30-Mar-26,9.74,JIBAR,130,,101.5560912,99.87494052,1.681150685,100,100,0,,0,,,,,Price,29-Mar-23,30-Aug-22,,,,Price Traded Methodology,
2028/03/30,ABFN51,ZAG000173808,ZAG000173808 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24,2023/09/29,30-Mar-28,9.99,JIBAR,131,,102.3987902,100.6744888,1.72430137,100,100,0,,0,,,,,Price,18-Jul-23,27-Mar-23,,,,Price Traded Methodology,
2031/03/30,ABFN52,ZAG000173816,ZAG000173816 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24,2023/09/29,30-Mar-31,10.07,JIBAR,160,,101.5905414,99.85243184,1.738109589,100,100,0,,0,,,,,Price,04-Jul-23,30-Mar-23,,,,Price Traded Methodology,
2025/02/14,ABFN53,ZAG000183278,ZAG000183278 Corp,ABSA BANK LTD,BANK,Sr Unsecured,70,2023/11/14,14-Feb-25,9.578,JIBAR,102,,100.6840586,100.2117189,0.472339726,100,100,0,,0,,,,,Price,23-Aug-23,27-Mar-23,,,,Price Traded Methodology,
2027/02/14,ABFN54,ZAG000183286,ZAG000183286 Corp,ABSA BANK LTD,BANK,Sr Unsecured,70,2023/11/14,14-Feb-27,9.758,JIBAR,115,,101.0774265,100.5962101,0.481216438,100,100,0,,0,,,,,Price,07-Aug-23,26-Jun-23,,,,Price Traded Methodology,
2029/02/14,ABFN55,ZAG000183294,ZAG000183294 Corp,ABSA BANK LTD,BANK,Sr Unsecured,70,2023/11/14,14-Feb-29,9.908,JIBAR,150,,100.4974858,100.0088721,0.488613699,100,100,0,,0,,,,,Price,16-Mar-23,27-Aug-23,,,,Price Traded Methodology,
2027/11/08,ABFN56,ZAG000191586,ZAG000191586 Corp,ABSA BANK LTD,BANK,Sr Unsecured,3,2023/09/08,08-Nov-27,9.933,JIBAR,126,,100.4491652,100.6396611,-0.19049589,100,100,0,,0,,,,,Price,25-May-23,24-May-23,,,,Price Traded Methodology,
2025/11/14,ABFN57,ZAG000191859,ZAG000191859 Corp,ABSA BANK LTD,BANK,Sr Unsecured,70,2023/11/14,14-Nov-25,9.608,JIBAR,114,,100.6016404,100.1278212,0.473819178,100,100,0,,0,,,,,Price,23-Aug-23,22-Aug-23,,,,Price Traded Methodology,
2027/11/14,ABFN58,ZAG000191867,ZAG000191867 Corp,ABSA BANK LTD,BANK,Sr Unsecured,70,2023/11/14,14-Nov-27,9.858,JIBAR,145,,100.4951205,100.0089726,0.486147945,100,100,0,,0,,,,,Price,25-Apr-23,27-Aug-23,,,,Price Traded Methodology,
2026/04/05,ABFN60,ZAG000193814,ZAG000193814 Corp,ABSA BANK LTD,BANK,Sr Unsecured,30,2023/10/05,05-Apr-26,9.58,JIBAR,108,,101.5354913,100.0131899,1.52230137,100,100,0,,0,,,,,Price,28-Aug-23,12-Jul-23,,,,Price Traded Methodology,
2028/02/24,ABFN61,ZAG000193822,ZAG000193822 Corp,ABSA BANK LTD,BANK,Sr Unsecured,80,2023/11/24,24-Feb-28,9.687,JIBAR,115,,100.831967,100.6196492,0.212317808,100,100,0,,0,,,,,Price,16-Aug-23,15-Aug-23,,,,Price Traded Methodology,
2030/02/24,ABFN62,ZAG000193830,ZAG000193830 Corp,ABSA BANK LTD,BANK,Sr Unsecured,80,2023/11/24,24-Feb-30,9.787,JIBAR,134,,100.5981379,100.3836283,0.214509589,100,100,0,,0,,,,,Price,01-Aug-23,04-Jul-23,,,,Price Traded Methodology,
2026/06/28,ABFN63,ZAG000197112,ZAG000197112 Corp,ABSA BANK LTD,BANK,Sr Unsecured,23,2023/09/28,28-Jun-26,9.542,JIBAR,101,,101.8083526,100.1090924,1.699260274,100,100,0,,0,,,,,Price,07-Aug-23,06-Aug-23,,,,Price Traded Methodology,
2028/06/28,ABFN64,ZAG000197138,ZAG000197138 Corp,ABSA BANK LTD,BANK,Sr Unsecured,23,2023/09/28,28-Jun-28,9.792,JIBAR,118,,102.2164376,100.4726567,1.743780822,100,100,0,,0,,,,,Price,16-Aug-23,15-Aug-23,,,,Price Traded Methodology,
2030/06/28,ABFN65,ZAG000197120,ZAG000197120 Corp,ABSA BANK LTD,BANK,Sr Unsecured,23,2023/09/28,28-Jun-30,9.872,JIBAR,138,,101.7678907,100.0098633,1.758027397,100,100,0,,0,,,,,Price,28-Jun-23,27-Aug-23,,,,Price Traded Methodology,
2025/06/27,ABGN01,ZAG000187436,ZAG000187436 Corp,ABSA BANK LTD,BANK,Sr Unsecured,23,2023/09/27,27-Jun-25,9.692,JIBAR,106,,101.9949651,100.2424391,1.752526027,100,100,0,,0,,,,,Price,23-Aug-23,22-Aug-23,,,,Price Traded Methodology,
2027/06/27,ABGN02,ZAG000187428,ZAG000187428 Corp,ABSA BANK LTD,BANK,Sr Unsecured,22,2023/09/27,27-Jun-27,9.922,JIBAR,130,,102.2179281,100.4238131,1.794115068,100,100,0,,0,,,,,Price,14-Jul-23,19-Jan-23,,,,Price Traded Methodology,
2029/06/27,ABGN03,ZAG000187410,ZAG000187410 Corp,ABSA BANK LTD,BANK,Sr Unsecured,22,2023/09/27,27-Jun-29,10.042,JIBAR,136,,102.666448,100.8506343,1.815813699,100,100,0,,0,,,,,Price,23-Aug-23,24-May-23,,,,Price Traded Methodology,
2024/12/03,ABJ01,ZAG000164914,ZAG000164914 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,90,2023/12/04,03-Dec-24,12.292,JIBAR,257,,101.3309439,101.4319741,-0.101030137,100,100,0,,0,,,,,Price,24-Aug-23,24-Nov-22,,,,Price Traded Methodology,
2024/03/31,ABJ02,ZAG000175241,ZAG000175241 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,24,2023/09/29,31-Mar-24,11.44,JIBAR,118,,102.9586675,100.9840922,1.974575342,100,100,0,,0,,,,,Price,25-Aug-23,20-Aug-23,,,,Price Traded Methodology,
2024/09/14,ABJ03,ZAG000179607,ZAG000179607 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,9,2023/09/14,14-Sep-24,11.175,JIBAR,235,,102.764996,100.3462973,2.41869863,100,100,0,,0,,,,,Price,06-Jul-23,06-Jul-23,,,,Price Traded Methodology,
2025/03/30,ABJ04,ZAG000184680,ZAG000184680 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,24,2023/09/29,30-Mar-25,11.09,JIBAR,259,,101.9230977,100.0089333,1.914164384,100,100,0,,0,,,,,Price,27-Jan-23,03-Oct-22,,,,Price Traded Methodology,
2027/03/30,ABJ05,ZAG000184698,ZAG000184698 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,24,2023/09/29,30-Mar-27,11.5,JIBAR,300,,101.993365,100.0084335,1.984931507,100,100,0,,0,,,,,Price,24-Aug-23,27-Aug-23,,,,Price Traded Methodology,
2024/03/13,ABKI04,ZAG000134578,ZAG000134578 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,8,2023/09/13,13-Mar-24,5.75,I2025,350,7.73,167.9905986,163.5135147,4.477083875,8.375,7.26,-0.03,0.518504751,0.49921,,83.86263,0.49588,,Price,24-Aug-23,21-Jun-23,,,,Inflation Linked Methodology,
2025/01/31,ABN61,ZAG000099565,ZAG000099565 Corp,ABSA BANK LTD,BANK,Sr Unsecured,148,2024/01/31,31-Jan-25,2,I2025,30,4.53,169.6484,169.34094,0.30746,4.7,3.42,0.24,1.397935675,1.366973721,-2.319049028,231.9049028,2.548821805,,Price,25-Jan-23,26-Nov-20,1.753530713,62.50246954,109.6,Inflation Linked Methodology,
2028/03/31,ABN62,ZAG000099573,ZAG000099573 Corp,ABSA BANK LTD,BANK,Sr Unsecured,25,2023/09/30,31-Mar-28,2.6,R210,77,5.03,219.85524,217.21254,2.6427,5.17,4.34,0.1,4.280004031,4.175002713,-9.17896224,917.896224,20.30038917,,Price,16-Feb-23,21-Jul-21,2.409047479,45.49515978,109.6,Inflation Linked Methodology,
2033/12/07,ABN63,ZAG000099581,ZAG000099581 Corp,ABSA BANK LTD,BANK,Sr Unsecured,93,2023/12/07,07-Dec-33,3.45,R202,50,5.23,243.01191,240.73622,2.27569,5.465,4.89,0.06,8.503977705,8.287265707,-20.1390413,2013.90413,81.68279191,,Price,28-Nov-22,10-Sep-20,2.799537739,39.14932043,109.6,Inflation Linked Methodology,
2026/12/21,ABN79,ZAG000106816,ZAG000106816 Corp,ABSA BANK LTD,BANK,Sr Unsecured,107,2023/12/21,21-Dec-26,10.5,R186,-2.5,8.8,106.82164,104.75041,2.07123,9.95,7.935,0.01,2.834398065,2.714940675,-2.900144323,290.0144323,9.421722852,,Price,23-Jul-21,05-Aug-20,,,,Illiquid Methodology,
2025/11/11,ABS16,ZAG000130956,ZAG000130956 Corp,ABSA BANK LTD,BANK,Sr Unsecured,67,2023/11/11,11-Nov-25,10.395,R186,38.5,9.21,105.46964,102.25146,3.21818,10.55,8.35,0.01,1.961208113,1.874870334,-1.977418985,197.7418985,4.684593364,,Rate,08-Aug-23,07-Aug-23,,,,Illiquid Methodology,
2027/11/11,ABS17,ZAG000130980,ZAG000130980 Corp,ABSA BANK LTD,BANK,Sr Unsecured,67,2023/11/11,11-Nov-27,10.635,R186,38.5,9.21,108.10258,104.8101,3.29248,10.36,8.345,0.01,3.406507182,3.25654336,-3.520407279,352.0407279,13.69405999,,Rate,25-Jul-23,15-Mar-22,,,,Illiquid Methodology,
2023/09/26,ABS18,ZAG000139668,ZAG000139668 Corp,ABSA BANK LTD,BANK,Sr Unsecured,21,2023/09/26,26-Sep-23,9.84,R186,-39,8.435,104.31732,100.03085,4.28647,9.585,7.9,0.06,0.070971817,0.068099712,-0.071039792,7.103979231,0.009275141,,Rate,02-Mar-23,22-Feb-23,,,,Illiquid Methodology,
2028/02/24,ABS19,ZAG000193848,ZAG000193848 Corp,ABSA BANK LTD,BANK,Sr Unsecured,172,2024/02/24,24-Feb-28,9.67,R186,94,9.765,99.86738,99.65543,0.21195,10.945,9.26,0,3.730058691,3.556416648,-3.551700079,355.1700079,15.82304521,,Price,10-Jul-23,10-Jul-23,,,,Illiquid Methodology,
2026/09/11,ABS7,ZAG000043985,ZAG000043985 Corp,ABSA BANK LTD,BANK,Sr Unsecured,6,2023/09/11,11-Sep-26,8.8,R186,38,9.205,98.71726,98.95836,-0.2411,10.765,8.6,-0.02,2.726471524,2.606507038,-2.573072523,257.3072523,8.470447384,,Rate,28-Aug-23,10-Jul-23,,,,Illiquid Methodology,
2023/12/07,ABSI2,ZAG000074378,ZAG000074378 Corp,ABSA BANK LTD,BANK,Sr Unsecured,93,2023/12/07,07-Dec-23,5.5,R197,100,4.85,335.38618,331.10175,4.28443,5.202,3.348,0.01,0.268734219,0.262371705,-0.87995848,87.99584805,0.137677823,,Rate,21-Aug-23,12-Oct-22,3.306170339,33.15013709,109.6,Inflation Linked Methodology,
2024/07/10,ABX01,ZAG000160870,ZAG000160870 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,127,2024/01/10,10-Jul-24,10.93,R186,285,11.675,100.95186,99.36476,1.5871,12.825,10.81,0.01,0.829982439,0.784204501,-0.79166901,79.16690104,0.996452782,,Price,28-Aug-23,10-Jul-19,,,,Illiquid Methodology,
2025/12/20,ACL097,ZAG000081845,ZAG000081845 Corp,ABSA BANK LTD,BANK,Sr Unsecured,15,2023/09/20,20-Dec-25,11.142,JIBAR,265,,102.2310776,100.0060776,2.225,100,100,0,,0,,,,,Price,11-Jun-19,10-Jun-19,,,,Price Traded Methodology,
2025/12/20,ACL098,ZAG000082074,ZAG000082074 Corp,ABSA BANK LTD,BANK,Sr Unsecured,15,2023/09/20,20-Dec-25,10.942,JIBAR,245,,102.1913372,100.0063372,2.185,100,100,0,,0,,,,,Price,11-Jun-19,10-Jun-19,,,,Price Traded Methodology,
2023/12/20,ACL217,ZAG000109794,ZAG000109794 Corp,ABSA BANK LTD,BANK,Sr Unsecured,15,2023/09/20,20-Dec-23,10.602,JIBAR,211,,102.1240867,100.0070867,2.117,100,100,0,,0,,,,,Price,19-Nov-19,03-Feb-14,,,,Price Traded Methodology,
2023/09/11,AECI02,ZAG000153982,ZAG000153982 Corp,AECI LIMITED,INDUSTRIAL,Sr Unsecured,6,2023/09/11,11-Sep-23,10.225,JIBAR,115,,99.74768416,100.0280403,-0.280356164,100,100,0,,0,,,,,Price,29-Nov-22,24-Nov-22,,,,Price Traded Methodology,
